iter	Passed	Remaining
705	6117515	2547520
706	6126439	2538962
707	6136203	2530750
708	6144801	2522055
709	6154618	2513858
710	6162670	2504939
711	6171557	2496360
712	6181313	2488130
713	6189866	2479414
714	6197116	2470179
715	6206195	2461675
716	6214167	2452732
717	6224097	2444562
718	6232548	2435808
719	6240973	2427045
720	6249399	2418283
721	6258733	2409872
722	6268040	2401448
723	6276145	2392563
724	6284709	2383855
725	6294076	2375450
726	6302371	2366640
727	6310948	2357936
728	6320698	2349669
729	6329017	2340869
730	6338747	2332589
731	6348205	2324206
732	6357194	2315649
733	6364123	2306344
734	6373005	2297750
735	6381709	2289091
736	6387481	2279386
737	6395642	2270539
738	6405549	2262311
739	6415065	2253941
740	6422744	2244927
741	6431436	2236267
742	6439476	2227382
743	6448588	2218869
744	6456780	2210039
745	6465393	2201353
746	6473748	2192581
747	6483410	2184250
748	6492224	2175631
749	6502071	2167357
750	6509949	2158425
751	6519816	2150152
752	6528525	2141495
753	6537415	2132896
754	6546258	2124282
755	6555236	2115711
756	6564878	2107352
757	6573406	2098633
758	6581527	2089786
759	6590471	2081201
760	6598426	2072304
761	6607245	2063680
762	6616667	2055242
763	6625038	2046477
764	6634415	2038023
765	6643062	2029342
766	6652073	2020773
767	6660769	2012107
768	6669933	2003582
769	6678611	1994909
770	6687314	1986245
771	6693220	1976754
772	6702894	1968379
773	6711809	1959779
774	6720679	1951164
775	6728813	1942337
776	6736695	1933440
777	6744820	1924614
778	6754197	1916145
779	6762945	1907497
780	6772643	1899115
781	6780037	1890087
782	6788707	1881416
783	6797999	1872918
784	6806997	1864336
785	6817048	1856041
786	6825982	1847438
787	6834967	1838849
788	6842772	1829943
789	6851687	1821334
790	6859993	1812564
791	6868984	1803975
792	6877815	1795344
793	6886402	1786648
794	6895876	1778181
795	6905028	1769630
796	6913100	1760802
797	6922371	1752279
798	6931418	1743698
799	6939925	1734981
800	6947968	1726149
801	6955904	1717293
802	6963994	1708476
803	6972877	1699855
804	6981115	1691077
805	6989676	1682378
806	6999270	1673927
807	7007779	1665215
808	7016291	1656503
809	7025517	1647961
810	7034759	1639419
811	7043334	1630722
812	7051818	1622005
813	7060588	1613353
814	7069317	1604691
815	7078089	1596039
816	7085299	1587037
817	7094607	1578506
818	7103674	1569920
819	7112765	1561338
820	7121904	1552766
821	7131203	1544226
822	7139811	1535536
823	7146229	1526379
824	7152418	1517179
825	7161247	1508543
826	7171181	1500138
827	7179674	1491429
828	7188731	1482838
829	7197504	1474187
830	7205929	1465465
831	7214820	1456838
832	7223472	1448163
833	7232495	1439561
834	7241266	1430908
835	7250221	1422292
836	7260298	1413893
837	7269000	1405224
838	7278024	1396617
839	7288231	1388234
840	7298109	1379785
841	7308095	1371352
842	7317762	1362857
843	7327606	1354391
844	7335076	1345487
845	7343646	1336786
846	7352817	1328194
847	7361622	1319536
848	7368763	1310580
849	7378067	1302011
850	7386437	1293277
851	7393497	1284316
852	7400998	1275435
853	7411331	1267042
854	7420123	1258383
855	7428691	1249686
856	7438314	1241165
857	7447185	1232517
858	7455330	1223750
859	7464485	1215148
860	7473344	1206498
861	7480614	1197592
862	7487512	1188631
863	7496434	1179994
864	7504964	1171294
865	7513235	1162555
866	7521556	1153825
867	7531200	1145297
868	7540738	1136751
869	7550454	1128228
870	7559350	1119582
871	7567811	1110871
872	7576508	1102195
873	7584881	1093472
874	7592413	1084630
875	7601691	1076038
876	7610890	1067433
877	7619411	1058733
878	7628093	1050056
879	7636044	1041278
880	7643623	1032453
881	7653048	1023877
882	7661522	1015173
883	7670991	1006600
884	7679336	997879
885	7687672	989158
886	7696585	980512
887	7704935	971793
888	7713625	963118
889	7722487	954464
890	7731416	945818
891	7740713	937216
892	7749984	928609
893	7757328	919772
894	7765694	911059
895	7774476	902394
896	7781093	893481
897	7790732	884916
898	7800077	876315
899	7808981	867664
900	7816727	858885
901	7825618	850233
902	7834009	841527
903	7842528	832834
904	7851872	824229
905	7861295	815631
906	7869607	806916
907	7878648	798277
908	7885038	789371
909	7894595	780784
910	7902253	772009
911	7909457	763193
912	7918424	754548
913	7927840	745945
914	7937152	737331
915	7947467	728807
916	7955491	720071
917	7964753	711448
918	7973890	702812
919	7983479	694215
920	7992212	685542
921	8001695	676933
922	8011392	668339
923	8021411	659769
924	8029661	651053
925	8038438	642380
926	8046486	633649
927	8055618	625004
928	8064769	616360
929	8074187	607734
930	8083170	599074
931	8091353	590356
932	8100279	581692
933	8109098	573019
934	8118425	564382
935	8127152	555702
936	8135135	546972
937	8143870	538294
938	8153059	529644
939	8162656	521020
940	8171616	512354
941	8181214	503726
942	8189655	495026
943	8199200	486393
944	8208236	477728
945	8217795	469091
946	8227299	460450
947	8235539	451738
948	8244329	443056
949	8253225	434380
950	8261478	425670
951	8270252	416987
952	8278460	408276
953	8286888	399577
954	8296692	390943
955	8305080	382242
956	8314641	373594
957	8323796	364926
958	8331259	356185
959	8341094	347545
960	8349560	338847
961	8358999	330189
962	8367798	321504
963	8375700	312785
964	8383858	304077
965	8393105	295409
966	8402791	286755
967	8412184	278088
968	8421367	269414
969	8431242	260760
970	8439254	252047
971	8448675	243377
972	8457763	234696
973	8465547	225979
974	8475283	217314
975	8483960	208621
976	8492752	199931
977	8501303	191235
978	8507044	182480
979	8516993	173816
980	8525344	165118
981	8534656	156439
982	8543558	147752
983	8552010	139057
984	8560897	130368
985	8567754	121651
986	8577220	112972
987	8586534	104289
988	8595606	95603
989	8603644	86905
990	8613181	78222
991	8620722	69521
992	8627769	60820
993	8637520	52137
994	8645930	43446
995	8654127	34755
996	8662955	26067
997	8672889	17380
998	8681678	8690
999	8688578	0
